,pred,grid
0,0.025667786598205566,1kmN3032E5026_11
1,0.0038956403732299805,1kmN3032E5026_12
2,0.044101983308792114,1kmN3032E5026_13
3,0.07396402955055237,1kmN3032E5026_14
4,0.0038956403732299805,1kmN3032E5026_21
5,0.0038956403732299805,1kmN3032E5026_22
6,0.0038956403732299805,1kmN3032E5026_23
7,0.0038956403732299805,1kmN3032E5026_24
8,0.0038956403732299805,1kmN3032E5026_31
9,0.016052722930908203,1kmN3032E5026_34
10,0.00802960991859436,1kmN3032E5026_41
11,0.0038956403732299805,1kmN3032E5026_42
12,0.0038956403732299805,1kmN3032E5026_43
13,0.0038956403732299805,1kmN3032E5027_13
14,0.0038956403732299805,1kmN3032E5027_14
15,0.026463806629180908,1kmN3032E5027_31
16,0.03241616487503052,1kmN3032E5027_33
17,0.026463806629180908,1kmN3032E5027_34
18,0.0038956403732299805,1kmN3032E5027_41
19,0.03241616487503052,1kmN3032E5027_42
20,0.11572369933128357,1kmN3032E5027_43
21,0.05941897630691528,1kmN3032E5027_44
22,0.00802960991859436,1kmN3032E5031_11
23,0.0644693374633789,1kmN3032E5032_11
24,0.0038956403732299805,1kmN3032E5032_12
25,0.0038956403732299805,1kmN3032E5032_13
26,0.026463806629180908,1kmN3032E5032_14
27,0.0038956403732299805,1kmN3032E5032_21
28,0.00802960991859436,1kmN3032E5032_41
29,0.040470004081726074,1kmN3032E5032_44
30,0.0038956403732299805,1kmN3032E5033_43
31,0.11985766887664795,1kmN3032E5033_44
32,0.0038956403732299805,1kmN3033E5021_11
33,0.0038956403732299805,1kmN3033E5021_14
34,0.0038956403732299805,1kmN3033E5021_44
35,0.0038956403732299805,1kmN3033E5022_44
36,0.03241616487503052,1kmN3033E5025_11
37,0.03241616487503052,1kmN3033E5025_12
38,0.006073266267776489,1kmN3033E5025_13
39,0.0500544011592865,1kmN3033E5025_14
40,0.0038956403732299805,1kmN3033E5025_21
41,0.0038956403732299805,1kmN3033E5025_24
42,0.0038956403732299805,1kmN3033E5025_31
43,0.0038956403732299805,1kmN3033E5025_34
44,0.0038956403732299805,1kmN3033E5025_41
45,0.006073266267776489,1kmN3033E5025_42
46,0.0500544011592865,1kmN3033E5025_43
47,0.0038956403732299805,1kmN3033E5025_44
48,0.0038956403732299805,1kmN3033E5026_11
49,0.026463806629180908,1kmN3033E5026_12
50,-0.6464990973472595,1kmN3033E5026_13
51,0.032710641622543335,1kmN3033E5026_14
52,0.048707276582717896,1kmN3033E5026_21
53,0.048235952854156494,1kmN3033E5026_22
54,0.021533817052841187,1kmN3033E5026_23
55,0.00802960991859436,1kmN3033E5026_24
