,Unnamed: 0,grid,pred,grid_x,grid_y,digits
0,0,1kmN3032E5026_11,0.4785057,19.87446308214759,49.97993620189498,1
1,1,1kmN3032E5026_12,0.29346198,19.874000955186087,49.97771173263026,1
2,2,1kmN3032E5026_13,0.30752933,19.870542003381004,49.9780134488894,1
3,3,1kmN3032E5026_14,0.54720974,19.87100397346405,49.980237934290145,1
4,4,1kmN3032E5026_21,0.29346198,19.873538881936888,49.97548725918411,1
5,8,1kmN3032E5026_31,0.29346198,19.866621252227198,49.97609055443353,1
6,9,1kmN3032E5026_34,0.29346198,19.86316237765307,49.976392044555205,1
7,13,1kmN3032E5027_13,0.29346198,19.8843775715011,49.97680595383579,1
8,14,1kmN3032E5027_14,0.29346198,19.884840169055828,49.979030374660226,1
9,15,1kmN3032E5027_31,0.29346198,19.880456352308926,49.974883543939704,1
10,16,1kmN3032E5027_33,0.30752933,19.87653546066432,49.972960992569924,1
11,17,1kmN3032E5027_34,0.30752933,19.876997637046557,49.975185454060316,1
12,18,1kmN3032E5027_41,0.29346198,19.881381179956406,49.979332422078066,1
13,19,1kmN3032E5027_42,0.46477702,19.880918739259013,49.97710798510151,1
14,20,1kmN3032E5027_43,0.47568065,19.877459867149685,49.977409911366976,1
15,21,1kmN3032E5027_44,0.43870062,19.877922150982688,49.9796343644903,1
16,23,1kmN3032E5032_11,0.6170048,19.957469706335072,49.9726631260465,1
17,24,1kmN3032E5032_12,0.29346198,19.957003816402946,49.970439045656214,1
18,25,1kmN3032E5032_13,0.29346198,19.95354582435271,49.97074328147596,1
19,26,1kmN3032E5032_14,0.29346198,19.954011557575566,49.972967378131045,1
20,27,1kmN3032E5032_21,0.29346198,19.9565379806024,49.96821496103829,1
21,28,1kmN3032E5032_41,0.4785057,19.950553368670974,49.973271525250986,1
22,29,1kmN3032E5032_44,0.30752933,19.947095139634182,49.9735755674044,1
23,31,1kmN3032E5033_44,0.6170048,19.960927814936518,49.972358768999385,1
24,36,1kmN3033E5025_11,0.36216596,19.862472942675108,49.990040594776346,1
25,37,1kmN3033E5025_12,0.36216596,19.862011228611305,49.987816077690645,1
26,38,1kmN3033E5025_13,0.29346198,19.85855148983843,49.98811743838349,1
27,39,1kmN3033E5025_14,0.36216596,19.859013046925654,49.990341971591405,1
28,44,1kmN3033E5025_41,0.29346198,19.855553111364266,49.99064324336575,1
29,45,1kmN3033E5025_42,0.29346198,19.85509171126059,49.988418694041,1
30,46,1kmN3033E5025_43,0.36216596,19.851631892890847,49.988719844661176,1
31,47,1kmN3033E5025_44,0.29346198,19.85209313600389,49.990944410097434,1
32,48,1kmN3033E5026_11,0.29346198,19.876312127294806,49.98883403714782,1
33,49,1kmN3033E5026_12,0.30752933,19.875849785395,49.986609584604686,1
34,50,1kmN3033E5026_13,0.36216596,19.87239020597108,49.986911365419466,1
35,51,1kmN3033E5026_14,0.29346198,19.872852390922407,49.98913583410629,1
36,52,1kmN3033E5026_21,0.54720974,19.87538749724317,49.98438512788177,1
37,53,1kmN3033E5026_22,0.49257305,19.874925262830335,49.98216066697867,1
38,54,1kmN3033E5026_23,0.29346198,19.871465997250805,49.98246241551182,1
39,55,1kmN3033E5026_24,0.4785057,19.871928074750187,49.98468689255478,1
40,56,1kmN3033E5026_31,0.4785057,19.8684686124076,49.98498855220562,1
41,60,1kmN3033E5026_41,0.29346198,19.869392614686387,49.98943752603186,1
42,61,1kmN3033E5026_42,0.29346198,19.868930586690524,49.9872130412067,1
43,62,1kmN3033E5026_43,0.29346198,19.86547092756631,49.98751461196443,1
44,63,1kmN3033E5026_44,0.38824233,19.865932798599644,49.98973911292251,1
45,65,1kmN3033E5027_12,0.4785057,19.889687704266105,49.98540141110893,1
46,68,1kmN3033E5027_21,0.49257305,19.889224788460737,49.98317701900688,1
47,69,1kmN3033E5027_22,0.4785057,19.888761926464397,49.980952622716934,1
48,70,1kmN3033E5027_23,0.4785057,19.885302820384297,49.981254791297886,1
49,71,1kmN3033E5027_24,0.30752933,19.88576552549532,49.98347920374916,1
50,72,1kmN3033E5027_31,0.6135616999999999,19.882306222628635,49.98378128347703,1
51,73,1kmN3033E5027_32,0.4785057,19.88184367440996,49.98155685486977,1
52,74,1kmN3033E5027_33,0.29346198,19.87838448855436,49.9818588134307,1
53,75,1kmN3033E5027_34,0.36216596,19.87884687987361,49.98408325818857,1
54,77,1kmN3033E5027_42,0.4785057,19.882768824621312,49.986005707900254,1
55,78,1kmN3033E5027_43,0.3741055,19.87930932494941,49.98630769876432,1
56,80,1kmN3033E5028_11,0.4785057,19.903988581632078,49.98641588052823,1
57,81,1kmN3033E5028_12,0.4785057,19.90352498439797,49.98419155732812,1
58,82,1kmN3033E5028_13,0.49257305,19.900065724292,49.98449417829318,1
59,83,1kmN3033E5028_14,0.29346198,19.900529164633962,49.986718517679996,1
60,84,1kmN3033E5028_21,0.29346198,19.903061441051754,49.98196722993281,1
61,85,1kmN3033E5028_24,0.29346198,19.899602337820443,49.98226983471314,1
62,86,1kmN3033E5028_31,0.30752933,19.896143194636192,49.982572334486896,1
63,87,1kmN3033E5028_33,0.29346198,19.89222099263736,49.98065034912892,1
64,88,1kmN3033E5028_34,0.30752933,19.892684011512014,49.98287472925213,1
65,90,1kmN3033E5028_42,1.0106554,19.896606424226093,49.98479669424634,2
66,91,1kmN3033E5028_43,0.38824233,19.89314708421314,49.98509910518555,1
67,93,1kmN3033E5029_11,0.36216596,19.91782584969637,49.98520428178696,1
68,94,1kmN3033E5029_12,0.9272865,19.917361624964197,49.98298002338718,2
69,95,1kmN3033E5029_13,0.30752933,19.91390252482712,49.98328306438057,1
70,96,1kmN3033E5029_14,0.29346198,19.914366592695288,49.98550733898853,1
71,97,1kmN3033E5029_21,0.9272865,19.91689745418992,49.98075576078449,2
72,98,1kmN3033E5029_24,0.29346198,19.91343851089921,49.98105878557166,1
73,99,1kmN3033E5029_34,0.29346198,19.906520504317246,49.98166452014781,1
74,100,1kmN3033E5029_41,0.36216596,19.910907295675653,49.985810291180535,1
75,101,1kmN3033E5029_42,0.47568065,19.910443384678413,49.9835860003698,1
76,102,1kmN3033E5029_43,0.46477702,19.906984204531078,49.98388883135298,1
77,103,1kmN3033E5029_44,0.3741055,19.907447958650287,49.9861131383611,1
78,105,1kmN3033E5030_12,0.29346198,19.931197625138804,49.98176680941126,1
79,108,1kmN3033E5030_21,0.29346198,19.930732827049283,49.979542611687066,1
80,109,1kmN3033E5030_34,0.36216596,19.920356357463127,49.98045263100048,1
81,112,1kmN3033E5030_43,0.30752933,19.920820685076848,49.98267687739157,1
82,113,1kmN3033E5030_44,0.36216596,19.921285066665824,49.98490111957786,1
83,114,1kmN3033E5031_11,0.6092034000000001,19.945498463485308,49.982776044067144,1
84,115,1kmN3033E5031_12,0.7549316999999999,19.945032984096066,49.98055191552558,1
85,116,1kmN3033E5031_13,0.9205973,19.941574204516016,49.980855796481684,2
86,117,1kmN3033E5031_14,0.47568065,19.942039527097897,49.9830799412743,1
87,118,1kmN3033E5031_21,0.54720974,19.944567558804366,49.97832778276568,1
88,119,1kmN3033E5031_22,0.6170048,19.944102187601317,49.97610364578707,1
89,120,1kmN3033E5031_23,0.29346198,19.9406437215837,49.976407494246885,1
90,121,1kmN3033E5031_24,0.30752933,19.941108936014267,49.97863164747266,1
91,122,1kmN3033E5031_31,0.30752933,19.937650273116454,49.97893540719654,1
92,126,1kmN3033E5031_41,0.47568065,19.93858055058859,49.983383733487614,1
93,127,1kmN3033E5031_42,0.46715912,19.93811538482122,49.981159572449286,1
94,128,1kmN3033E5031_43,0.29346198,19.934656525024486,49.981463243426475,1
95,129,1kmN3033E5031_44,0.30752933,19.93512153397038,49.98368742070511,1
96,130,1kmN3033E5032_11,0.3741055,19.95933380755861,49.98155940533918,1
97,131,1kmN3033E5032_12,0.29346198,19.958867701010522,49.97933534185548,1
98,132,1kmN3033E5032_13,0.30752933,19.955409082018512,49.97963964274594,1
99,133,1kmN3033E5032_14,0.29346198,19.955875031787574,49.98186372250213,1
100,134,1kmN3033E5032_21,0.49257305,19.958401648629817,49.977111274145756,1
101,135,1kmN3033E5032_22,0.4785057,19.957935650407702,49.97488720220955,1
102,137,1kmN3033E5032_24,0.29346198,19.954943186399507,49.977415558765614,1
103,138,1kmN3033E5032_31,0.54720974,19.951484684009863,49.97771973841019,1
104,139,1kmN3033E5032_32,0.4785057,19.95101899928312,49.975495633942096,1
105,140,1kmN3033E5032_33,0.54720974,19.947560613505456,49.975799692351494,1
106,141,1kmN3033E5032_34,0.49257305,19.948026141473864,49.978023813077534,1
107,142,1kmN3033E5032_41,0.4785057,19.95241621584307,49.982167934679076,1
108,143,1kmN3033E5032_42,0.6092034000000001,19.951950422860225,49.97994383865572,1
109,144,1kmN3033E5032_43,0.38824233,19.94849172354839,49.98024792958294,1
110,145,1kmN3033E5032_44,0.54720974,19.94895735973801,49.98247204186809,1
111,148,1kmN3033E5033_31,0.49257305,19.96531845256118,49.97650238998807,1
112,149,1kmN3033E5033_32,0.54720974,19.96485214087193,49.97427835060522,1
113,150,1kmN3033E5033_33,0.38824233,19.961393915728788,49.97458282889041,1
114,151,1kmN3033E5033_34,0.4785057,19.961860070688036,49.976806884552595,1
115,153,1kmN3033E5033_42,0.29346198,19.965784818443836,49.97872642514057,1
116,154,1kmN3033E5033_43,0.29346198,19.9623262798232,49.979030935986366,1
117,155,1kmN3033E5033_44,0.29346198,19.962792543143344,49.98125498319219,1
118,156,1kmN3033E5034_11,0.45302233,19.98700256593671,49.97912108877534,1
119,157,1kmN3033E5034_12,0.29346198,19.98653520541107,49.97689715566474,1
120,158,1kmN3033E5034_13,0.29346198,19.983076908213874,49.97720229632957,1
121,159,1kmN3033E5034_14,0.29346198,19.983544112017114,49.97942624575557,1
122,160,1kmN3033E5034_21,0.29346198,19.986067899192552,49.974673218312596,1
123,161,1kmN3033E5034_23,0.29346198,19.982142663467293,49.972754384758346,1
124,162,1kmN3033E5034_24,0.29346198,19.982609758700235,49.97497834266394,1
125,164,1kmN3033E5035_12,0.29346198,20.000367991247927,49.9756755433956,1
126,165,1kmN3033E5035_13,0.29346198,19.99690985525725,49.97598110390043,1
127,167,1kmN3033E5035_31,0.29346198,19.9929840593386,49.97406265473907,1
128,168,1kmN3033E5035_34,0.29346198,19.9895259994096,49.974367989003646,1
129,170,1kmN3033E5035_42,0.29346198,19.993451678945657,49.97628655944818,1
130,171,1kmN3033E5035_43,0.29346198,19.989993462325945,49.976591910036966,1
131,172,1kmN3033E5035_44,0.29346198,19.990460979566823,49.97881582682679,1
132,174,1kmN3033E5036_42,0.29346198,20.007284142214857,49.975064107522705,1
133,175,1kmN3033E5036_43,0.29346198,20.003826086904763,49.975369877935705,1
134,196,1kmN3034E5022_13,0.29346198,19.818870535553142,50.00062445352667,1
135,199,1kmN3034E5022_24,0.29346198,19.818410702327782,49.99839973971056,1
136,201,1kmN3034E5022_32,0.29346198,19.814490353198053,49.99647504893682,1
137,203,1kmN3034E5022_34,0.29346198,19.811489209702074,49.99899972112292,1
138,210,1kmN3034E5023_13,0.29346198,19.832713673063388,49.999423165534026,1
139,213,1kmN3034E5023_24,0.29346198,19.832253211426934,49.99719851600402,1
140,214,1kmN3034E5023_31,0.30752933,19.82879264370355,49.99749897953605,1
141,215,1kmN3034E5023_34,0.29346198,19.82533203627061,49.997799337999105,1
142,221,1kmN3034E5024_12,0.29346198,19.85001670094002,49.99791919142887,1
143,222,1kmN3034E5024_13,0.29346198,19.846556174901345,49.998220196383066,1
144,224,1kmN3034E5024_21,0.29346198,19.84955545394751,49.995694622377435,1
145,237,1kmN3034E5025_22,0.29346198,19.862934710425748,49.99226510769032,1
146,238,1kmN3034E5025_23,0.29346198,19.859474657682235,49.99256650062953,1
147,239,1kmN3034E5025_24,0.29346198,19.85993632211708,49.994791025498245,1
148,240,1kmN3034E5025_31,0.36216596,19.856476072535926,49.99509232951203,1
149,241,1kmN3034E5025_32,0.30752933,19.856014565119768,49.99286778852264,1
150,242,1kmN3034E5025_33,0.47568065,19.852554432751226,49.99316897136768,1
151,243,1kmN3034E5025_34,0.36216596,19.853015783141785,49.9953935284724,1
152,248,1kmN3034E5026_11,0.29346198,19.878162032551717,49.997731805530435,1
153,249,1kmN3034E5026_12,0.29346198,19.877699475570985,49.995507369702466,1
154,251,1kmN3034E5026_14,0.29346198,19.874701668210463,49.998033667082936,1
155,254,1kmN3034E5026_23,0.29346198,19.87331462961309,49.99136029861564,1
156,257,1kmN3034E5026_32,0.29346198,19.8698546964041,49.99166200668146,1
157,258,1kmN3034E5026_33,0.30752933,19.86639472333733,49.991963609707,1
158,279,1kmN3034E5027_44,0.29346198,19.881622356988245,49.997429838925456,1
159,285,1kmN3034E5028_22,0.5331424,19.90445223276298,49.988640199533606,1
160,292,1kmN3034E5028_41,1.1676273000000001,19.89892338014769,49.9959184301817,2
161,296,1kmN3034E5029_11,0.29346198,19.91968328838197,49.99410127336554,1
162,297,1kmN3034E5029_12,0.54720974,19.919218847729073,49.991877031773186,1
163,298,1kmN3034E5029_13,0.4785057,19.915759120031375,49.99218013761068,1
164,299,1kmN3034E5029_14,0.47568065,19.916223403750376,49.994404395418854,1
165,300,1kmN3034E5029_21,0.4785057,19.9187544610698,49.989652785979565,1
166,301,1kmN3034E5029_22,0.9489943000000001,19.918290128395206,49.987428535984314,2
167,302,1kmN3034E5029_23,0.6170048,19.91483071451276,49.987731609395894,1
168,303,1kmN3034E5029_24,0.47568065,19.915294890288468,49.98995587560317,1
169,304,1kmN3034E5029_31,0.6170048,19.911835279474413,49.9902588602065,1
170,305,1kmN3034E5029_32,1.0586662,19.91137126060467,49.98803457779265,2
171,306,1kmN3034E5029_33,0.6801328000000001,19.907911766683775,49.98833744117253,1
172,307,1kmN3034E5029_34,0.29346198,19.90837562864049,49.99056173978764,1
173,308,1kmN3034E5029_41,0.9205973,19.91276347907189,49.994707412441166,2
174,309,1kmN3034E5029_42,0.4785057,19.912299352293807,49.992483138422536,1
175,310,1kmN3034E5029_43,0.29346198,19.908839544529396,49.99278603420685,1
176,311,1kmN3034E5029_44,0.29346198,19.909303514359475,49.995010324430616,1
