"eurogrid_0250";"st_y";"st_x"
"1kmN3041E5023_14";50.063936196912834;19.84609039344643
"1kmN3033E5025_43";49.988719844661176;19.851631892890847
"1kmN3035E5024_44";50.00994491552148;19.841939686533976
"1kmN3035E5024_41";50.00964404019115;19.845401077741332
"1kmN3035E5024_13";50.00711849540985;19.848401070991176
"1kmN3035E5024_42";50.00741945972295;19.84493987673914
"1kmN3035E5023_44";50.01114736586923;19.828093723929314
"1kmN3035E5023_41";50.01084691093219;19.831555274220882
"1kmN3035E5023_14";50.010546350893925;19.83501678476083
"1kmN3035E5023_12";50.00802107308293;19.838017368858697
"1kmN3035E5023_11";50.010245685756374;19.83847825553616
"1kmN3035E5022_11";50.011447715703056;19.824632133899108
"1kmN3035E5023_42";50.00862226607505;19.83109470189631
"1kmN3035E5023_43";50.00892270492831;19.82763330879171
"1kmN3035E5023_13";50.00832172212595;19.834556055256286
"1kmN3048E5035_32";50.105265781488356;20.02066688900658
"1kmN3048E5035_32";50.105265781488356;20.02066688900658
"1kmN3048E5036_34";50.106569853260844;20.03153996286668
"1kmN3048E5036_34";50.106569853260844;20.03153996286668
"1kmN3048E5036_34";50.106569853260844;20.03153996286668
"1kmN3048E5036_34";50.106569853260844;20.03153996286668
"1kmN3048E5034_22";50.105878277658306;20.013732179057925
"1kmN3048E5034_22";50.105878277658306;20.013732179057925
"1kmN3048E5034_22";50.105878277658306;20.013732179057925
"1kmN3048E5034_22";50.105878277658306;20.013732179057925
"1kmN3048E5035_33";50.10557208220972;20.017199554387158
"1kmN3048E5035_33";50.10557208220972;20.017199554387158
"1kmN3048E5035_33";50.10557208220972;20.017199554387158
"1kmN3048E5035_33";50.10557208220972;20.017199554387158
"1kmN3047E5034_23";50.097289508840966;20.008383838832287
"1kmN3047E5035_34";50.09890104285608;20.015787832845398
"1kmN3046E5034_14";50.09506578354839;20.00791374475123
"1kmN3047E5035_42";50.100818459013105;20.019725371080582
"1kmN3047E5035_13";50.10051208590424;20.023192349595003
"1kmN3047E5034_22";50.09698348436129;20.011850624078058
"1kmN3047E5035_23";50.09606477941086;20.022250735755055
"1kmN3047E5035_32";50.09637111964421;20.018784072552414
"1kmN3047E5034_21";50.09920718901496;20.01232093060619
"1kmN3047E5035_33";50.096677354628376;20.015317368655776
"1kmN3046E5035_44";50.09445366217846;20.014846959279765
"1kmN3047E5035_31";50.09859479144056;20.01925469439635
"1kmN3047E5035_14";50.1027357328127;20.023663238811007
"1kmN3047E5036_31";50.097368733252054;20.033121733457953
"1kmN3047E5036_32";50.09514512723511;20.032650481068874
"1kmN3047E5035_22";50.09575833393021;20.02571735825072
