"","eurogrid_0250_1","populacjaKobiet","procentDzieci","procentMieszkalnych","localConcentration","percentOfMean","WzrostZameldowania"
"1","1kmN3032E5026_11",0.568181818181818,0.228571428571429,0.909090909090909,0.0000423824132546107,1.03193231084646,0.294633946259583
"2","1kmN3032E5026_12",0.5,0.0384615384615385,0.666666666666667,0.0000326018563497006,0.964079789016863,0.224885316969823
"3","1kmN3032E5026_13",0.431818181818182,0.375,1,0.0000521629701595209,1.16620240691408,0.404546882664285
"4","1kmN3032E5026_14",0.535211267605634,0.40625,0.961538461538462,0.0000782444552392813,1.17604204754194,0.413633072666249
"5","1kmN3032E5026_21",0.555555555555556,0.111111111111111,1,0.00000978055690491017,0.922876293887714,0.230719073471928
"6","1kmN3032E5026_31",0.5,0.117647058823529,0.9,0.0000260814850797604,1.08482037922119,0.304587942961427
"7","1kmN3032E5026_34",0.586206896551724,0.0833333333333333,0.9,0.0000293416707147305,0.832474595619281,0.20811864890482
"8","1kmN3032E5027_13",0.666666666666667,0.666666666666667,1,0.00000326018563497006,0.981299160115612,0.173404271915958
"9","1kmN3032E5027_14",0.542857142857143,0.25,0.875,0.0000195611138098203,0.988678890586504,0.277509936897693
"10","1kmN3032E5027_31",0.514285714285714,0.205882352941176,0.789473684210526,0.0000326018563497006,0.976584332314764,0.258856208084424
"11","1kmN3032E5027_33",0.53448275862069,0.163636363636364,0.789473684210526,0.0000554231557944909,0.966334706660747,0.250356506618004
"12","1kmN3032E5027_34",0.520833333333333,0.295454545454545,1,0.0000554231557944909,1.05509646482454,0.30318135225703
"13","1kmN3032E5027_41",0.515151515151515,0.103448275862069,0.857142857142857,0.0000195611138098203,0.947885380483516,0.236971345120879
"14","1kmN3032E5027_42",0.532608695652174,0.1625,0.933333333333333,0.0000912851977791615,1.01512292477387,0.288721216787257
"15","1kmN3032E5027_43",0.546296296296296,0.273684210526316,0.857142857142857,0.000114106497223952,1.05509646482454,0.379429996693162
"16","1kmN3032E5027_44",0.563636363636364,0.313725490196078,0.454545454545455,0.0000912851977791615,1.05079162204985,0.45981224560353
"17","1kmN3032E5032_11",0.558659217877095,0.122699386503067,0.918918918918919,0.000110846311588982,0.865273397712137,0.221968307407344
"18","1kmN3032E5032_12",0.538461538461538,0.194444444444444,0.5,0.0000195611138098203,0.879827866140841,0.239967643453594
"19","1kmN3032E5032_13",0.615384615384615,0.125,0.875,0.0000228212994447904,0.951780238232042,0.237945059558011
"20","1kmN3032E5032_14",0.558823529411765,0.0625,0.8125,0.0000326018563497006,0.863018480068253,0.181454339638692
"21","1kmN3032E5032_21",0.5,0.166666666666667,1,0.00000326018563497006,0.898277192318072,0.224569298079518
"22","1kmN3032E5032_41",0.545454545454545,0,1,0.0000130407425398802,0.848464011639548,0.170352481744096
"23","1kmN3032E5032_44",0.481012658227848,0.130434782608696,0.75,0.000058683341429461,0.945630462839632,0.230157290158554
"24","1kmN3032E5033_44",0.408866995073892,0.111111111111111,0.9,0.000110846311588982,0.905861915302045,0.225236975124904
"25","1kmN3033E5025_11",0.507042253521127,0.0819672131147541,0.846153846153846,0.0000619435270644311,0.908116832945929,0.273314816520381
"26","1kmN3033E5025_12",0.436363636363636,0.163265306122449,0.838709677419355,0.0000652037126994011,1.02455258037556,0.285016366874352
"27","1kmN3033E5025_13",0.461538461538462,0.0294117647058824,0.866666666666667,0.0000391222276196407,0.972279489540077,0.236740420388947
"28","1kmN3033E5025_14",0.505882352941176,0.116883116883117,0.9,0.0000652037126994011,0.954855125928247,0.253869936936171
"29","1kmN3033E5025_41",0.605263157894737,0.176470588235294,0.846153846153846,0.0000391222276196407,0.978019279906326,0.265064344535825
"30","1kmN3033E5025_42",0.552631578947368,0.0571428571428571,1,0.0000358620419846706,0.968794616817711,0.235704782603613
"31","1kmN3033E5025_43",0.5,0.174603174603175,0.724137931034483,0.0000684638983343712,0.95649506603289,0.266282226758921
"32","1kmN3033E5025_44",0.5,0.0967741935483871,0.875,0.0000228212994447904,0.899507147396554,0.21718387218245
"33","1kmN3033E5026_11",0.555555555555556,0.166666666666667,1,0.0000195611138098203,1.03931204131735,0.341183610437994
"34","1kmN3033E5026_12",0.62962962962963,0.0833333333333333,1,0.0000489027845245508,0.959979938755256,0.264285921802226
"35","1kmN3033E5026_13",0.44578313253012,0.0933333333333333,0.818181818181818,0.0000782444552392813,0.946860417918114,0.230762442306099
"36","1kmN3033E5026_14",0.65,0.166666666666667,0.666666666666667,0.0000130407425398802,0.930051031845526,0.220315216919023
"37","1kmN3033E5026_21",0.519480519480519,0.0597014925373134,0.956521739130435,0.0000619435270644311,0.948705350535837,0.237176337633959
"38","1kmN3033E5026_22",0.58695652173913,0.194444444444444,0.564102564102564,0.0000521629701595209,1.09855487759757,0.285751660042101
"39","1kmN3033E5026_23",0.333333333333333,0,0.454545454545455,0.00000978055690491017,0.984374047811817,0.246093511952954
"40","1kmN3033E5026_24",0.4375,0.0740740740740741,0.727272727272727,0.0000260814850797604,0.996878591109718,0.257156822356075
"41","1kmN3033E5026_31",0.6,0,0.666666666666667,0.00000652037126994011,0.852973846927316,0.16766307253334
"42","1kmN3033E5026_41",0.5,0.037037037037037,0.9,0.0000260814850797604,0.939890672473382,0.234972668118346
"43","1kmN3033E5026_42",0.571428571428571,0.0681818181818182,0.722222222222222,0.0000423824132546107,0.820995014886782,0.200198076892316
"44","1kmN3033E5026_43",0.484848484848485,0.225806451612903,0.846153846153846,0.0000293416707147305,0.96243984891222,0.281685725050874
"45","1kmN3033E5026_44",0.421052631578947,0.0864197530864197,0.875,0.0000652037126994011,0.919596413678428,0.219588363786095
"46","1kmN3033E5027_12",0.352941176470588,0.0714285714285714,0.625,0.00000978055690491017,1.04341189157896,0.260852972894739
"47","1kmN3033E5027_21",0.549019607843137,0.105263157894737,0.857142857142857,0.0000521629701595209,1.0825654615773,0.296437424453133
"48","1kmN3033E5027_22",0.571428571428571,0.0769230769230769,0.636363636363636,0.0000260814850797604,1.00446331409369,0.335233887678726
"49","1kmN3033E5027_23",0.611111111111111,0.142857142857143,0.34375,0.0000326018563497006,0.983554077759496,0.448621073493956
"50","1kmN3033E5027_24",0.48,0.205128205128205,0.875,0.0000554231557944909,1.08318043911654,0.339404321204576
"51","1kmN3033E5027_31",0.488095238095238,0.225,0.631578947368421,0.0000978055690491017,1.01020310445994,0.40309462670354
"52","1kmN3033E5027_32",0.521739130434783,0.45,1,0.0000260814850797604,1.16312751921788,0.672295955678232
"53","1kmN3033E5027_33",0.363636363636364,0,0.6,0.00000978055690491017,0.987038950481862,0.246759737620465
"54","1kmN3033E5027_34",0.460526315789474,0.0579710144927536,0.909090909090909,0.0000717240839693412,0.972894467079318,0.243223616769829
"55","1kmN3033E5027_42",0.4,0,1,0.00000652037126994011,0.958339998650613,0.239584999662653
"56","1kmN3033E5027_43",0.458823529411765,0.0779220779220779,1,0.0000815046408742514,1.00056845634516,0.2652982695404
"57","1kmN3033E5028_11",0.551020408163265,0.0454545454545455,0.684210526315789,0.0000456425988895808,0.983964062785656,0.267280467781491
"58","1kmN3033E5028_12",0.487179487179487,0.0625,0.857142857142857,0.0000326018563497006,1.01430295472155,0.253575738680387
"59","1kmN3033E5028_13",0.512820512820513,0.176470588235294,1,0.000058683341429461,1.01225302959074,0.266224190769041
"60","1kmN3033E5028_14",0.666666666666667,0.666666666666667,0.5,0.00000326018563497006,1.00569326917217,0.352789594320084
"61","1kmN3033E5028_21",0.75,0,1,0.00000978055690491017,0.966949684199988,0.263490265297404
"62","1kmN3033E5028_24",0.625,0.266666666666667,0.75,0.0000163009281748503,1.00938313440762,0.459015426898022
"63","1kmN3033E5028_31",0.565217391304348,0.375,0.875,0.0000456425988895808,1.19490135874533,0.34648914887701
"64","1kmN3033E5028_33",0.285714285714286,0.4,1,0.00000652037126994011,1.0555064498507,0.40378055944653
"65","1kmN3033E5028_34",0.48936170212766,0.0952380952380952,0.56,0.0000423824132546107,1.06042627016463,0.265106567541156
"66","1kmN3033E5028_42",0.505882352941176,0.350597609561753,0.931034482758621,0.000378181533656526,1.31174709120113,0.370593152057973
"67","1kmN3033E5028_43",0.4625,0.186666666666667,0.5,0.0000684638983343712,1.07334079848869,0.281158523219059
"68","1kmN3033E5029_11",0.520547945205479,0.117647058823529,0.833333333333333,0.0000749842696043113,0.965309744095345,0.237926023009891
"69","1kmN3033E5029_12",0.568421052631579,0.130952380952381,0.952380952380952,0.000264075036432574,1.04279691403972,0.254238920713957
"70","1kmN3033E5029_13",0.529411764705882,0.106382978723404,0.952380952380952,0.0000521629701595209,0.989908845664986,0.252427868240292
"71","1kmN3033E5029_14",0.444444444444444,0.0869565217391304,0.727272727272727,0.0000293416707147305,0.948705350535837,0.237176337633959
"72","1kmN3033E5029_21",0.570469798657718,0.1484375,0.777777777777778,0.000231473180082874,0.980889175089451,0.253697681691283
"73","1kmN3033E5029_24",0.5,0.125,0.75,0.0000195611138098203,0.972074497026996,0.392477874445654
"74","1kmN3033E5029_34",0.526315789473684,0.117647058823529,1,0.0000358620419846706,0.993803703413513,0.261967731170947
"75","1kmN3033E5029_41",0.493333333333333,0.183098591549296,0.95,0.0000619435270644311,1.00897314938146,0.265945346469113
"76","1kmN3033E5029_42",0.521739130434783,0.100840336134454,0.761904761904762,0.000104325940319042,0.994828665978915,0.257933305728592
"77","1kmN3033E5029_43",0.466666666666667,0.231707317073171,1,0.0000880250121441915,1.05817135252074,0.267336163279717
"78","1kmN3033E5029_44",0.511904761904762,0.126582278481013,0.888888888888889,0.0000815046408742514,1.00507829163293,0.251269572908233
"79","1kmN3033E5030_12",0,0,0.5,0.00000326018563497006,1.00241338896289,0.250603347240722
"80","1kmN3033E5030_21",0.6875,0,0.8,0.00000978055690491017,0.961619878859899,0.256539599999367
"81","1kmN3033E5030_34",0.6,0.206349206349206,0.96,0.0000749842696043113,0.92082636875691,0.242019813401864
"82","1kmN3033E5030_43",0.492307692307692,0.1,0.846153846153846,0.0000423824132546107,0.945835455352712,0.232641995805481
"83","1kmN3033E5030_44",0.526315789473684,0.0746268656716418,0.954545454545455,0.0000652037126994011,0.95034529064048,0.24425338443066
"84","1kmN3033E5031_11",0.596330275229358,0.137254901960784,1,0.0000912851977791615,0.985194017864139,0.253275701495304
"85","1kmN3033E5031_12",0.544444444444444,0.098159509202454,0.954545454545455,0.000133667611033772,0.934150882107132,0.228042993847089
"86","1kmN3033E5031_13",0.50920245398773,0.202797202797203,1,0.000143448167938682,1.15431284115542,0.297954309153469
"87","1kmN3033E5031_14",0.517543859649123,0.195876288659794,0.942857142857143,0.000104325940319042,1.14242327539676,0.325977686321969
"88","1kmN3033E5031_21",0.463636363636364,0.14,0.923076923076923,0.0000717240839693412,0.928206099227803,0.241311842727038
"89","1kmN3033E5031_22",0.530201342281879,0.132352941176471,0.911764705882353,0.000120626868493892,0.913856623312178,0.245832249031737
"90","1kmN3033E5031_23",0.5,0.1875,0.846153846153846,0.0000326018563497006,1.00200340393673,0.211963181027367
"91","1kmN3033E5031_24",0.537313432835821,0.0909090909090909,0.545454545454545,0.0000358620419846706,0.918366458599946,0.233351083991122
"92","1kmN3033E5031_31",0.467741935483871,0.0892857142857143,0.869565217391304,0.0000554231557944909,1.05161159210217,0.247272808780209
"93","1kmN3033E5031_41",0.525925925925926,0.170731707317073,0.885714285714286,0.000104325940319042,1.07723565623721,0.278743996055015
"94","1kmN3033E5031_42",0.521739130434783,0.0891089108910891,0.90625,0.0000945453834141316,1.1024497353461,0.308065336717022
"95","1kmN3033E5031_43",0.5,0.25,0.5,0.00000978055690491017,1.13545352995203,0.457150177627994
"96","1kmN3033E5031_44",0.553846153846154,0.26,0.5,0.0000489027845245508,1.16353750424404,0.351524785353837
"97","1kmN3033E5032_11",0.5,0.149253731343284,0.916666666666667,0.0000717240839693412,1.03111234079414,0.260845608346488
"98","1kmN3033E5032_12",0.565217391304348,0.19047619047619,1,0.0000163009281748503,0.869988225512984,0.228609997020955
"99","1kmN3033E5032_13",0.558139534883721,0.135135135135135,0.85,0.0000554231557944909,0.931485979437088,0.244778507106585
"100","1kmN3033E5032_14",0.517241379310345,0.172413793103448,0.777777777777778,0.0000228212994447904,0.930051031845526,0.232512757961381
"101","1kmN3033E5032_21",0.476744186046512,0.133333333333333,1,0.0000554231557944909,0.908526817972089,0.23005571443382
"102","1kmN3033E5032_22",0.428571428571429,0,1,0.00000652037126994011,0.953625170849765,0.238406292712441
"103","1kmN3033E5032_24",0.583333333333333,0.142857142857143,1,0.00000978055690491017,0.938250732368739,0.234562683092185
"104","1kmN3033E5032_31",0.474747474747475,0.1,1,0.0000782444552392813,0.952395215771283,0.235586219979445
"105","1kmN3033E5032_32",0.645161290322581,0.2,0.714285714285714,0.0000195611138098203,0.917546488547625,0.229386622136906
"106","1kmN3033E5032_33",0.490566037735849,0.108695652173913,0.857142857142857,0.0000847648265092214,0.977609294880166,0.256481968037743
"107","1kmN3033E5032_34",0.540816326530612,0.195402298850575,0.875,0.000058683341429461,0.971049534461595,0.284294101333892
"108","1kmN3033E5032_41",0.444444444444444,0.171428571428571,0.7,0.0000260814850797604,1.114954278644,0.285781288902673
"109","1kmN3033E5032_42",0.52991452991453,0.138613861386139,0.896551724137931,0.0000912851977791615,0.930871001897847,0.237028202083088
"110","1kmN3033E5032_43",0.524193548387097,0.120689655172414,0.8,0.0000717240839693412,0.948295365509676,0.231097461164031
"111","1kmN3033E5032_44",0.5,0.0941176470588235,0.807692307692308,0.0000684638983343712,1.00938313440762,0.270119764022837
"112","1kmN3033E5033_31",0.442857142857143,0.15,0.9,0.0000423824132546107,0.865683382738297,0.234947838723005
"113","1kmN3033E5033_32",0.578947368421053,0.226190476190476,0.833333333333333,0.0000717240839693412,0.900122124935795,0.249912930070707
"114","1kmN3033E5033_33",0.52,0.126436781609195,0.958333333333333,0.0000684638983343712,0.911601705668295,0.21333319938608
"115","1kmN3033E5033_34",0.4,0.111111111111111,1,0.0000163009281748503,0.930871001897847,0.321886486459145
"116","1kmN3033E5033_42",0.666666666666667,0,1,0.00000652037126994011,0.868143292895261,0.262616212422304
"117","1kmN3033E5033_43",0.522727272727273,0.105263157894737,0.823529411764706,0.0000391222276196407,0.981504152628692,0.269203583108254
"118","1kmN3033E5033_44",0.5,0.222222222222222,1,0.0000293416707147305,1.00733320927682,0.251833302319204
"119","1kmN3033E5034_11",0.511627906976744,0.217948717948718,0.852941176470588,0.0000945453834141316,0.990113838178067,0.281743255223816
"120","1kmN3033E5034_12",0.6,0.133333333333333,0.9375,0.0000489027845245508,0.982734107707174,0.256101701026936
"121","1kmN3033E5034_13",0.407407407407407,0.0833333333333333,0.75,0.0000195611138098203,0.697589522012414,0.183832462498815
"122","1kmN3033E5034_14",0.5,0,0.333333333333333,0.00000326018563497006,0.879827866140841,0.21995696653521
"123","1kmN3033E5034_21",0.416666666666667,0.0967741935483871,0.823529411764706,0.0000423824132546107,1.03664713864731,0.280914628909234
"124","1kmN3033E5034_23",0.382352941176471,0.0344827586206897,1,0.0000228212994447904,0.745147785047054,0.179040062043451
"125","1kmN3033E5034_24",0.466666666666667,0.214285714285714,0.6,0.00000978055690491017,0.746377740125536,0.186594435031384
"126","1kmN3033E5035_12",0.555555555555556,0,1,0.0000326018563497006,0.907911840432848,0.234020679349886
"127","1kmN3033E5035_13",1,0.333333333333333,1,0.00000652037126994011,1.0106130894861,0.527306344538553
"128","1kmN3033E5035_31",0.423076923076923,0.105263157894737,0.857142857142857,0.0000228212994447904,0.876957970957716,0.219239492739429
"129","1kmN3033E5035_34",0.541666666666667,0.186046511627907,0.933333333333333,0.0000456425988895808,0.926156174096999,0.270946279575146
"130","1kmN3033E5035_42",1,0,1,0.00000326018563497006,0.910371750589812,0.227592937647453
"131","1kmN3033E5035_43",0.485714285714286,0.125,0.714285714285714,0.0000358620419846706,0.941325620064945,0.235331405016236
"132","1kmN3033E5035_44",0.478260869565217,0.075,0.875,0.0000456425988895808,0.995443643518156,0.259973851522247
